Roll No.,Assignment,Midterm,Final
1,57.14,64.38,52.5
2,95.05,67.5,68.33
3,83.7,na,48.89
4,81.22,49.38,80.56
5,NaN,95,NaN
6,95,93.12,68.06
7,95.05,56.25,50
8,72.85,60,56.11
9,84.26,47.5,50.83
10,90.1,51.25,63.61
11,N/a,75,39.72
12,86.26,74.38,77.5
13,97.16,72.5,63.33
14,91.28,N/a,NaN
15,84.8,44.38,35.83
16,93.83,88.12,90
17,84.8,47.5,53.33
18,92.01,38.75,49.17
19,55.14,75,62.5
20,93.04,79.38,91.11
